d,ell,m,alpha,beta,flavors_at_source,Norm,Re,Im,confidence_level
2,1,0,e,e,agnostic,,,,68
2,1,0,e,e,"(1/3,2/3,0)",,,,68
2,1,0,e,e,"(1,0,0)",4.414839511031339e-23,4.414839511031339e-23,,68
2,1,0,e,e,"(0,1,0)",3.756363870516813e-21,3.756363870516813e-21,,68
2,1,0,e,mu,agnostic,1.7412421360048751e-19,1.1149748140853334e-19,1.1314993423846545e-19,68
2,1,0,e,mu,"(1/3,2/3,0)",1.8166003890201761e-19,1.2079003818757242e-19,1.1847006605680317e-19,68
2,1,0,e,mu,"(1,0,0)",1.4816543050436296e-19,8.025604716962782e-20,8.182050589269012e-20,68
2,1,0,e,mu,"(0,1,0)",1.9136567699925784e-19,1.3011291162486646e-19,1.3349796246348331e-19,68
2,1,0,e,tau,agnostic,1.9992018025458352e-19,1.4677193430370296e-19,1.4615606947765386e-19,68
2,1,0,e,tau,"(1/3,2/3,0)",1.9733559321243901e-19,1.4222038123024371e-19,1.4234249490252702e-19,68
2,1,0,e,tau,"(1,0,0)",3.999172874223787e-20,2.601212802906936e-20,2.6877665059865215e-20,68
2,1,0,e,tau,"(0,1,0)",3.0069798960921224e-21,2.0272951684742517e-21,2.0998337676924798e-21,68
2,1,0,mu,e,agnostic,1.7444633046193962e-19,1.1203091239614933e-19,1.1011281609646437e-19,68
2,1,0,mu,e,"(1/3,2/3,0)",1.9155729613101794e-19,1.3293514897482937e-19,1.3372426447127762e-19,68
2,1,0,mu,e,"(1,0,0)",1.4590039839787222e-19,8.047318336803532e-20,8.146157877666145e-20,68
2,1,0,mu,e,"(0,1,0)",1.8974785889381813e-19,1.295054710840368e-19,1.3220464816699997e-19,68
2,1,0,mu,mu,agnostic,2.585028865986062e-20,2.585028865986062e-20,,68
2,1,0,mu,mu,"(1/3,2/3,0)",4.849255535387922e-21,4.849255535387922e-21,,68
2,1,0,mu,mu,"(1,0,0)",9.121418465299651e-23,9.121418465299651e-23,,68
2,1,0,mu,mu,"(0,1,0)",6.2149888310769885e-22,6.2149888310769885e-22,,68
2,1,0,mu,tau,agnostic,,1.4733433021891225e-19,1.4267808165563592e-19,68
2,1,0,mu,tau,"(1/3,2/3,0)",,1.4733433021891225e-19,1.4618077886579542e-19,68
2,1,0,mu,tau,"(1,0,0)",7.406909308637088e-22,8.068418958603961e-23,7.349552506083482e-22,68
